127.0.0.1, 2013-07-29 20:36:05, GET, /, HTTP/1.1, 303, 0.001242
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/default/index, HTTP/1.1, 200, 1.287734
127.0.0.1, 2013-07-29 20:36:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000372
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000280
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000283
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000281
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000322
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000274
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000362
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000275
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000397
127.0.0.1, 2013-07-29 20:36:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000321
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000373
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000298
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000289
127.0.0.1, 2013-07-29 20:36:07, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000934
127.0.0.1, 2013-08-02 19:41:31, GET, /, HTTP/1.1, 303, 0.532679
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.329542
127.0.0.1, 2013-08-02 19:41:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000297
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000467
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/nas.js, HTTP/1.1, 200, 0.000348
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/jquery.js, HTTP/1.1, 200, 0.000335
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/jquery-ui.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/jquery-ui.css, HTTP/1.1, 200, 0.000358
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/calendar.css, HTTP/1.1, 200, 0.000325
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/base.css, HTTP/1.1, 200, 0.000302
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/web2py.css, HTTP/1.1, 200, 0.000311
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/superfish.js, HTTP/1.1, 200, 0.000506
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/web2py.js, HTTP/1.1, 200, 0.003231
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/superfish.css, HTTP/1.1, 200, 0.000307
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/css/skeleton.css, HTTP/1.1, 200, 0.000297
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/js/calendar.js, HTTP/1.1, 200, 0.005884
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/images/icon256_ntura.png, HTTP/1.1, 200, 0.000359
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/images/poweredby.png, HTTP/1.1, 200, 0.000277
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/images/icon24_ntura.png, HTTP/1.1, 200, 0.000267
127.0.0.1, 2013-08-02 19:41:31, GET, /nerva2py/static/favicon.ico, HTTP/1.1, 200, 0.000410
127.0.0.1, 2013-08-02 19:41:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2013-08-02 19:41:45, GET, /nerva2py/nwc/index, HTTP/1.1, 303, 0.437404
127.0.0.1, 2013-08-02 19:41:46, GET, /nerva2py/nwc/alias_login, HTTP/1.1, 200, 0.394590
127.0.0.1, 2013-08-02 19:41:46, GET, /nerva2py/static/resources/application/nwc/images/icon16_help.png, HTTP/1.1, 200, 0.000492
127.0.0.1, 2013-08-02 19:41:52, POST, /nerva2py/nwc/alias_login, HTTP/1.1, 303, 0.457106
127.0.0.1, 2013-08-02 19:41:52, GET, /nerva2py/nwc/index, HTTP/1.1, 200, 0.507639
127.0.0.1, 2013-08-02 19:41:52, GET, /nerva2py/static/js/nwc.js, HTTP/1.1, 200, 0.000439
127.0.0.1, 2013-08-02 19:41:52, GET, /nerva2py/static/css/nerva2py.css, HTTP/1.1, 200, 0.000363
127.0.0.1, 2013-08-02 19:41:52, GET, /nerva2py/static/resources/application/nwc/images/icon16_address.png, HTTP/1.1, 200, 0.000315
127.0.0.1, 2013-08-02 19:41:52, GET, /nerva2py/static/resources/application/nwc/images/icon16_user.png, HTTP/1.1, 200, 0.001174
127.0.0.1, 2013-08-02 19:41:53, GET, /nerva2py/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2013-08-02 19:41:53, GET, /nerva2py/static/images/shadow.png, HTTP/1.1, 200, 0.000312
127.0.0.1, 2013-08-02 19:42:08, GET, /nerva2py/nwc/alias_logout, HTTP/1.1, 303, 0.503032
127.0.0.1, 2013-08-02 19:42:08, GET, /nerva2py/nwc/alias_login, HTTP/1.1, 200, 0.427438
127.0.0.1, 2013-08-02 19:42:14, GET, /nerva2py/default/index, HTTP/1.1, 200, 0.168327
127.0.0.1, 2013-08-02 19:42:14, GET, /nerva2py/static/plugin_layouts/layouts/KeepitSimple/css/style.css, HTTP/1.1, 200, 0.000436
127.0.0.1, 2013-08-02 19:42:14, GET, /nerva2py/static/plugin_layouts/superfish.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2013-08-02 19:42:14, GET, /nerva2py/static/images/css3buttons_backgrounds.png, HTTP/1.1, 200, 0.000427
127.0.0.1, 2013-08-02 19:42:14, GET, /nerva2py/static/images/css3buttons_icons.png, HTTP/1.1, 200, 0.000310
127.0.0.1, 2013-08-02 19:42:16, GET, /nerva2py/nas/index, HTTP/1.1, 303, 0.178928
127.0.0.1, 2013-08-02 19:42:17, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.341971
127.0.0.1, 2013-08-02 19:48:19, GET, /, HTTP/1.1, 303, 0.421164
127.0.0.1, 2013-08-02 19:48:19, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.302498
127.0.0.1, 2013-08-02 19:48:42, GET, /nerva2py/default/ndoc, HTTP/1.1, 200, 0.228519
127.0.0.1, 2013-08-02 19:48:47, GET, /nerva2py/nas/index, HTTP/1.1, 303, 0.195267
127.0.0.1, 2013-08-02 19:48:47, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.199440
127.0.0.1, 2013-08-02 20:14:09, GET, /, HTTP/1.1, 500, 54.323975
127.0.0.1, 2013-08-02 20:15:51, GET, /, HTTP/1.1, 500, 32.453468
127.0.0.1, 2013-08-02 20:20:48, GET, /nerva2py, HTTP/1.1, 500, 157.310512
127.0.0.1, 2013-08-02 20:22:00, GET, /nerva2py, HTTP/1.1, 500, 59.106563
127.0.0.1, 2013-08-02 20:25:30, GET, /, HTTP/1.1, 500, 57.340630
127.0.0.1, 2013-08-02 20:26:46, GET, /nerva2py, HTTP/1.1, 500, 67.993266
127.0.0.1, 2013-08-02 20:27:07, GET, /nerva2py, HTTP/1.1, 303, 15.424300
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 11.016924
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000838
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/jquery-ui.js, HTTP/1.1, 304, 0.000703
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/nas.js, HTTP/1.1, 304, 0.000799
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/jquery.js, HTTP/1.1, 304, 0.000811
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/skeleton.css, HTTP/1.1, 304, 0.000832
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/calendar.js, HTTP/1.1, 304, 0.000922
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/web2py.js, HTTP/1.1, 304, 0.000796
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/base.css, HTTP/1.1, 304, 0.006411
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/web2py.css, HTTP/1.1, 304, 0.003371
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/superfish.css, HTTP/1.1, 304, 0.004098
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/calendar.css, HTTP/1.1, 304, 0.003706
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/css/jquery-ui.css, HTTP/1.1, 304, 0.006574
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/js/superfish.js, HTTP/1.1, 304, 0.001047
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/images/poweredby.png, HTTP/1.1, 304, 0.000739
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/images/icon24_ntura.png, HTTP/1.1, 304, 0.003467
127.0.0.1, 2013-08-02 20:27:18, GET, /nerva2py/static/images/icon256_ntura.png, HTTP/1.1, 304, 0.003127
127.0.0.1, 2013-08-02 20:27:59, POST, /nerva2py/nas/user/login, HTTP/1.1, 303, 0.429826
127.0.0.1, 2013-08-02 20:28:00, GET, /nerva2py/nas/index, HTTP/1.1, 200, 0.201832
127.0.0.1, 2013-08-02 20:28:02, GET, /nerva2py/nas/accounts, HTTP/1.1, 200, 0.239890
127.0.0.1, 2013-08-02 20:28:05, GET, /nerva2py/nas/index, HTTP/1.1, 200, 0.205238
127.0.0.1, 2013-08-02 20:28:07, GET, /nerva2py/nas/databases, HTTP/1.1, 200, 0.229078
127.0.0.1, 2013-08-02 20:28:11, GET, /nerva2py/nas/databases/edit/databases/2, HTTP/1.1, 200, 0.257475
127.0.0.1, 2013-08-02 20:28:15, GET, /nerva2py/nas/index, HTTP/1.1, 200, 0.233872
127.0.0.1, 2013-08-02 20:28:18, GET, /nerva2py/nas/user/logout, HTTP/1.1, 303, 0.353392
127.0.0.1, 2013-08-02 20:28:18, GET, /nerva2py/nas/index, HTTP/1.1, 303, 0.353355
127.0.0.1, 2013-08-02 20:28:18, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.197264
127.0.0.1, 2013-08-02 20:58:47, GET, /, HTTP/1.1, 303, 21.222746
127.0.0.1, 2013-08-02 20:58:49, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 2.400982
127.0.0.1, 2013-08-02 21:27:33, GET, /, HTTP/1.1, 303, 0.450240
127.0.0.1, 2013-08-02 21:27:33, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.290003
127.0.0.1, 2013-08-02 21:28:28, GET, /nerva2py/default/index, HTTP/1.1, 200, 0.211879
127.0.0.1, 2013-08-02 21:28:39, GET, /nerva2py/nas/index, HTTP/1.1, 303, 0.216588
127.0.0.1, 2013-08-02 21:28:39, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.229926
127.0.0.1, 2013-08-02 21:28:43, GET, /nerva2py/nwc/index, HTTP/1.1, 303, 0.430427
127.0.0.1, 2013-08-02 21:28:43, GET, /nerva2py/nwc/alias_login, HTTP/1.1, 200, 0.398028
127.0.0.1, 2013-08-02 21:30:26, POST, /nerva2py/nwc/alias_login, HTTP/1.1, 303, 0.644374
127.0.0.1, 2013-08-02 21:30:27, GET, /nerva2py/nwc/index, HTTP/1.1, 200, 0.824221
127.0.0.1, 2013-08-02 21:30:29, GET, /nerva2py/nwc/alias_logout, HTTP/1.1, 303, 0.802363
127.0.0.1, 2013-08-02 21:30:30, GET, /nerva2py/nwc/alias_login, HTTP/1.1, 200, 0.412242
127.0.0.1, 2013-08-02 21:30:52, GET, /, HTTP/1.1, 303, 0.390720
127.0.0.1, 2013-08-02 21:30:52, GET, /nerva2py/nas/user/login, HTTP/1.1, 200, 0.311877
127.0.0.1, 2013-08-02 21:30:56, GET, /nerva2py/nwc/index, HTTP/1.1, 303, 0.658258
127.0.0.1, 2013-08-02 21:30:56, GET, /nerva2py/nwc/alias_login, HTTP/1.1, 200, 0.408884
127.0.0.1, 2013-08-02 21:33:30, GET, /, HTTP/1.1, 500, 0.268909
127.0.0.1, 2013-08-02 21:38:49, GET, /, HTTP/1.1, 500, 0.451645
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/default/ticket/nerva2py/127.0.0.1.2013-08-02.21-38-48.38499c40-6f6d-45fa-ba15-aadb0e9712b0, HTTP/1.1, 303, 0.239118
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/default/index, HTTP/1.1, 200, 0.051004
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000912
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000910
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000844
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000829
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000816
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000739
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001870
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000769
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000754
127.0.0.1, 2013-08-02 21:38:57, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.000788
127.0.0.1, 2013-08-02 21:39:01, POST, /admin/default/index, HTTP/1.1, 200, 0.125843
127.0.0.1, 2013-08-02 21:39:06, POST, /admin/default/index, HTTP/1.1, 200, 0.120309
127.0.0.1, 2013-08-02 21:39:55, GET, /, HTTP/1.1, 500, 0.266533
127.0.0.1, 2013-08-02 21:39:58, GET, /admin/default/ticket/nerva2py/127.0.0.1.2013-08-02.21-39-55.8267240a-e6af-4fd2-b467-71cc6ade2fa6, HTTP/1.1, 303, 0.192907
127.0.0.1, 2013-08-02 21:39:58, GET, /admin/default/index, HTTP/1.1, 200, 0.054408
127.0.0.1, 2013-08-02 21:40:03, POST, /admin/default/index, HTTP/1.1, 303, 0.113611
127.0.0.1, 2013-08-02 21:40:03, GET, /admin/default/ticket/nerva2py/127.0.0.1.2013-08-02.21-39-55.8267240a-e6af-4fd2-b467-71cc6ade2fa6, HTTP/1.1, 200, 0.191732
